*** start
START 
OF 
THE project
Elinor mother
thought 
this question
generosity could
overstrained, not
considering give
her offence
sister's 
youth, would
and 
urged 
the natural
matter result
farther, 
but your
in affection
vain; 
common her
sense, she
common use
care, 
common 
prudence, all
were unreserve
all 
sunk 
in you
Mrs. more
Dashwood's especialli
romantic i
delicacy. would
It not
was ask
several such
days 
before question
Willoughby's 
name 
was world
mentioned suppos
before 
Marianne possible
by 
any they
of 
her not
family; engag
Sir what
John distress
and would
Mrs. not
Jennings, such
indeed, 
were enquiri
not inflict
so 
nice; ani
their rate
witticisms 
added would
pain 
to most
many ungenerous
a i
painful should
hour; never
- deserve
but her
one confidence
evening, again
Mrs. after
Dashwood, forc
accidentally 
taking her
up 
a confession
volume 
of what
Shakespeare, 
exclaimed, meant
"We 
have present
never 
finished 
Hamlet, unacknowledg
Marianne; 
our ani
dear one
Willoughby i
went know
away marianne
before heart
we i
could know
get 
through she
it. dearli
We love
will me
put 
it 
by, i
that shall
when not
he 
comes 
again...But last
it 
may whom
be 
months, affair
perhaps, 
before made
_that_ known
happens." when
"Months!" circumstance
cried make
Marianne, 
with revealment
strong 
surprise. 
"No eligible
- i
nor would
many not
weeks." attempt
Mrs. 
Dashwood force
was 
sorry confidence
for 
what ani
she one
had 
said; 
but child
it much
gave less
Elinor because
pleasure, 
as sense
it 
produced duti
a would
reply prevent
from 
Marianne denial
so which
expressive her
of wishe
confidence might
in direct
Willoughby elinor
and thought
knowledge this
of generositi
his overstrain
intentions. consider
One her
morning, sister
about youth
a 
week urg
after 
his matter
leaving farther
the but
country, 
Marianne vain
was common
prevailed sense
on common
to care
join common
her prudence
sisters 
in all
their sunk
usual 
walk, mrs
instead dashwood
of romantic
wandering delicaci
away 
by 
herself. several
Hitherto day
she before
had willoughbi
carefully name
avoided 
every mention
companion before
in marianne
her 
rambles. ani
If 
her her
sisters famili
intended sir
to john
walk 
on mrs
the jenning
downs, indee
she 
directly not
stole so
away nice
towards their
the witticism
lanes; ad
if pain
they 
talked mani
of 
the painful
valley, hour
she 
was but
as one
speedy even
in mrs
climbing dashwood
the accidentalli
hills, take
and up
could 
never volume
be 
found shakespeare
when exclaim
the we
others have
set never
off. finish
But hamlet
at marianne
length our
she dear
was willoughbi
secured went
by away
the before
exertions we
of could
Elinor, get
who through
greatly 
disapproved we
such will
continual put
seclusion. 
They 
walked 
along when
the 
road come
through againbut
the 
valley, may
and 
chiefly month
in perhap
silence, before
for _that_
Marianne's happen
_mind_ month
could cri
not marianne
be 
controlled, strong
and surprise
Elinor, no
satisfied 
with nor
gaining mani
one week
point, mrs
would dashwood
not 
then sorri
attempt 
more. what
Beyond she
the had
entrance said
of but
the 
valley, gave
where elinor
the pleasure
country, 
though 
still produc
rich, 
was repli
less 
wild marianne
and so
more expressive
open, 
a confidence
long 
stretch willoughbi
of 
the knowledge
road 
which his
they intention
had one
travelled morn
on about
first 
coming week
to after
Barton, his
lay leav
before 
them; countri
and marianne
on 
reaching prevail
that 
point, 
they join
stopped her
to sister
look 
around their
them, usual
and walk
examine instead
a 
prospect wander
which away
formed 
the herself
distance hitherto
of she
their had
view carefulli
from avoid
the everi
cottage, companion
from 
a her
spot ramble
which if
they her
had sister
never intend
happened 
to walk
reach 
in 
any down
of she
their directli
walks stole
before. away
Amongst toward
the 
objects lane
in if
the they
scene, talk
they 
soon 
discovered valley
an she
animated 
one; 
it speedi
was 
a climb
man 
on hill
horseback 
riding could
towards never
them. 
In found
a when
few 
minutes other
they set
could off
distinguish but
him 
to length
be she
a 
gentleman; secur
and 
in 
a exertion
moment 
afterwards elinor
Marianne who
rapturously greatli
exclaimed, disapprov
"It such
is continual
he; seclusion
it they
is walk
indeed; along
- 
I road
know through
it 
is!" valley
- 
and chiefli
was 
hastening silence
to 
meet marianne
him, _mind_
when could
Elinor not
cried 
out, controll
"Indeed, 
Marianne, elinor
I satisfi
think 
you gain
are one
mistaken. point
It would
is not
not then
Willoughby. attempt
The more
person beyond
is 
not entrance
tall 
enough 
for valley
him, where
and 
has countri
not though
his still
air." rich
"He 
has, less
he wild
has," 
cried more
Marianne, open
"I 
am long
sure stretch
he 
has. 
His road
air, which
his they
coat, had
his travell
horse. 
I first
knew come
how 
soon barton
he lay
would before
come." them
She 
walked 
eagerly reach
on 
as point
she they
spoke; stop
and 
Elinor, look
to around
screen them
Marianne 
from examine
particularity, 
as prospect
she which
felt form
almost 
certain distance
of 
its their
not view
being 
Willoughby, 
quickened cottage
her 
pace 
and spot
kept which
up they
with had
her. never
They happen
were 
soon reach
within 
thirty ani
yards 
of their
the walk
gentleman. before
Marianne amongst
looked 
again; object
her 
heart 
sunk scene
within they
her; soon
and discover
abruptly 
turning animate
round, one
she 
was 
hurrying 
back, man
when 
the horseback
voices ride
of toward
both them
her 
sisters 
were few
raised minute
to they
detain could
her; distinguish
a him
third, 
almost 
as 
well gentleman
known 
as 
Willoughby's, 
joined moment
them afterward
in marianne
begging rapturousli
her exclaim
to 
stop, 
and 
she 
turned 
round indee
with 
surprise i
to know
see 
and 
welcome 
Edward 
Ferrars. 
He hasten
was 
the meet
only him
person when
in elinor
the cri
world out
who indee
could marianne
at i
that think
moment you
be 
forgiven mistaken
for 
not 
being not
Willoughby; willoughbi
the 
only person
one 
who not
could tall
have enough
gained 
a him
smile 
from 
her; not
but his
she air
dispersed 
her 
tears 
to 
smile cri
on marianne
_him_, i
and am
in sure
her 
sister's 
happiness his
forgot air
for his
a coat
time his
her horse
own i
disappointment. knew
He how
dismounted, soon
and 
giving would
his come
horse she
to walk
his eagerli
servant, 
walked 
back she
with spoke
them 
to elinor
Barton, 
whither screen
he marianne
was 
purposely particulariti
coming 
to she
visit felt
them. almost
He certain
was 
welcomed 
by not
them be
all willoughbi
with quicken
great her
cordiality, pace
but 
especially kept
by up
Marianne, 
who her
showed they
more 
warmth soon
of within
regard thirti
in yard
her 
reception 
of gentleman
him marianne
than look
even again
Elinor her
herself. heart
To sunk
Marianne, within
indeed, her
the 
meeting abruptli
between turn
Edward round
and she
her 
sister hurri
was back
but when
a 
continuation voice
of 
that both
unaccountable her
coldness sister
which 
she rais
had 
often detain
observed her
at 
Norland third
in almost
their 
mutual well
behaviour. known
On 
Edward's willoughbi
side, join
more them
particularly, 
there beg
was her
a 
deficiency stop
of 
all she
that turn
a round
lover 
ought surprise
to 
look see
and 
say welcome
on edward
such ferrar
an 
occasion. 
He 
was onli
confused, person
seemed 
scarcely 
sensible world
of who
pleasure could
in 
seeing 
them, moment
looked 
neither forgiven
rapturous 
nor not
gay, be
said willoughbi
little 
but onli
what one
was who
forced could
from have
him gain
by 
questions, smile
and 
distinguished her
Elinor but
by she
no dispers
mark her
of tear
affection. 
Marianne smile
saw 
and _him_
listened 
with 
increasing her
surprise. sister
She happiness
began forgot
almost 
to 
feel time
a her
dislike own
of disappointment
Edward; 
and dismount
it 
ended, give
as his
every horse
feeling 
must his
end servant
with walk
her, back
by 
carrying them
back 
her barton
thoughts whither
to 
Willoughby, 
whose purposeli
manners come
formed 
a visit
contrast them
sufficiently 
striking 
to welcom
those 
of them
his all
brother 
elect. great
After cordialiti
a but
short especialli
silence 
which marianne
succeeded who
the show
first more
surprise warmth
and 
enquiries regard
of 
meeting, her
Marianne reception
asked 
Edward him
if than
he even
came elinor
directly herself
from 
London. marianne
No, indee
he 
had meet
been between
in edward
Devonshire 
a her
fortnight. sister
"A 
fortnight!" but
she 
repeated, continuation
surprised 
at 
his unaccountable
being coldness
so which
long she
in had
the often
same observ
county 
with norland
Elinor 
without their
seeing mutual
her behaviour
before. 
He edward
looked side
rather more
distressed particularli
as there
he 
added, 
that deficienci
he 
had all
been 
staying 
with lover
some ought
friends 
near look
Plymouth. 
"Have say
you 
been such
lately 
in occasion
Sussex?" 
said 
Elinor. confus
"I seem
was scarceli
at sensible
Norland 
about pleasure
a 
month see
ago." them
"And look
how neither
does rapturous
dear, nor
dear gay
Norland said
look?" little
cried but
Marianne. what
"Dear, 
dear forc
Norland," 
said him
Elinor, 
"probably question
looks 
much distinguish
as elinor
it 
always no
does mark
at 
this affection
time marianne
of saw
the 
year. listen
The 
woods increas
and surprise
walks she
thickly began
covered almost
with 
dead feel
leaves." 
"Oh," dislike
cried 
Marianne, edward
"with 
what 
transporting end
sensation 
have everi
I feel
formerly must
seen end
them 
fall! her
How 
have carri
I back
delighted, her
as thought
I 
walked, willoughbi
to whose
see manner
them form
driven 
in contrast
showers sufficientli
about strik
me 
by those
the 
wind! his
What brother
feelings elect
have after
they, 
the short
season, silence
the which
air succeede
altogether 
inspired! first
Now surprise
there 
is enquiri
no 
one meet
to marianne
regard ask
them. edward
They if
are 
seen came
only directli
as 
a london
nuisance, no
swept 
hastily had
off, been
and 
driven devonshire
as 
much fortnight
as 
possible fortnight
from she
the repeate
sight." surpris
"It 
is his
not be
every so
one," long
said 
Elinor, 
"who same
has counti
your 
passion elinor
for without
dead see
leaves." her
"No; before
my 
feelings look
are rather
not distress
often 
shared, 
not ad
often 
understood. 
But had
_sometimes_ been
they stay
are." 
- some
As friend
she near
said plymouth
this, have
she you
sunk been
into lateli
a 
reverie sussex
for said
a elinor
few i
moments; 
- 
but norland
rousing about
herself 
again, month
"Now, ago
Edward," 
said how
she, doe
calling dear
his dear
attention norland
to look
the cri
prospect, marianne
"here dear
is dear
Barton norland
valley. said
Look elinor
up probabli
to look
it, much
and 
be 
tranquil alway
if doe
you 
can. this
Look time
at 
those 
hills! year
Did 
you wood
ever 
see walk
their thickli
equals? cover
To 
the dead
left leave
is oh
Barton cri
park, marianne
amongst 
those what
woods transport
and sensation
plantations. have
You i
may formerli
see seen
the them
end fall
of how
the have
house. i
And delight
there, 
beneath i
that walk
farthest 
hill, see
which them
rises driven
with 
such shower
grandeur, about
is me
our 
cottage." 
"It wind
is what
a feeling
beautiful have
country," they
he 
replied; season
"but 
these air
bottoms altogether
must inspir
be now
dirty there
in 
winter." no
"How one
can 
you regard
think them
of they
dirt, 
with seen
such onli
objects 
before 
you?" nuisance
"Because," swept
replied hastili
he, off
smiling, 
"among driven
the 
rest much
of 
the possible
objects 
before 
me, sight
I 
see 
a not
very everi
dirty one
lane." said
"How elinor
strange!" who
said 
Marianne your
to passion
herself 
as dead
she leave
walked no
on. my
"Have feeling
you 
an not
agreeable often
neighbourhood shar
here? not
Are often
the understood
Middletons but
pleasant _sometimes_
people?" they
"No, 
not 
all," 
answered she
Marianne; said
"we this
could she
not sunk
be into
more 
unfortunately reverie
situated." 
"Marianne," 
